iso,country,year,yield_kg_ha,trend,loss
BD,Bangladesh,1980,2005.8,2056.2799999999997,0
BD,Bangladesh,1981,1937.5,2071.65,1
BD,Bangladesh,1982,1997.9,2082.3571428571427,1
BD,Bangladesh,1983,2205.6,2097.325,0
BD,Bangladesh,1984,2134.6,2112.711111111111,0
BD,Bangladesh,1985,2148.5,2151.4700000000003,0
BD,Bangladesh,1986,2146.6,2199.95,0
BD,Bangladesh,1987,2202.1,2264.78,0
BD,Bangladesh,1988,2235.8,2327.56,0
BD,Bangladesh,1989,2500.3,2371.77,0
BD,Bangladesh,1990,2490.6,2405.9,0
BD,Bangladesh,1991,2585.8,2450.37,0
BD,Bangladesh,1992,2625.7,2505.13,0
BD,Bangladesh,1993,2647.7,2553.1600000000003,0
BD,Bangladesh,1994,2475.9,2616.1099999999997,1
BD,Bangladesh,1995,2593.2,2677.7200000000003,0
BD,Bangladesh,1996,2694.2,2767.1,0
BD,Bangladesh,1997,2682.4,2839.62,0
BD,Bangladesh,1998,2865.3,2916.55,0
BD,Bangladesh,1999,3116.4,2999.71,0
BD,Bangladesh,2000,3384.4,3096.06,0
BD,Bangladesh,2001,3311.0,3204.9,0
BD,Bangladesh,2002,3395.0,3311.6200000000003,0
BD,Bangladesh,2003,3479.3,3445.47,0
BD,Bangladesh,2004,3439.4,3569.19,0
BD,Bangladesh,2005,3681.6,3675.15,0
BD,Bangladesh,2006,3761.4,3765.5399999999995,0
BD,Bangladesh,2007,4020.9,3869.72,0
BD,Bangladesh,2008,4102.5,3969.8,0
BD,Bangladesh,2009,4176.0,4072.7300000000005,0
BD,Bangladesh,2010,4288.3,4182.88,0
BD,Bangladesh,2011,4352.8,4270.76,0
BD,Bangladesh,2012,4395.8,4354.719999999999,0
BD,Bangladesh,2013,4508.6,4423.2300000000005,0
BD,Bangladesh,2014,4540.9,4492.0,0
BD,Bangladesh,2015,4560.4,4555.49,0
BD,Bangladesh,2016,4601.0,4616.84,0
BD,Bangladesh,2017,4706.0,4673.5199999999995,0
BD,Bangladesh,2018,4790.2,4734.469999999999,0
BD,Bangladesh,2019,4810.9,4799.6,0
BD,Bangladesh,2020,4901.8,4828.344444444444,0
BD,Bangladesh,2021,4919.6,4861.8375,0
BD,Bangladesh,2022,5005.3,4899.099999999999,0
BD,Bangladesh,2023,5159.9,4931.283333333334,0
ID,Indonesia,1980,2865.7,3183.92,1
ID,Indonesia,1981,3022.1,3238.816666666667,1
ID,Indonesia,1982,3332.1,3272.7285714285713,0
ID,Indonesia,1983,3320.3,3314.225,0
ID,Indonesia,1984,3379.4,3342.4555555555553,0
ID,Indonesia,1985,3513.3,3386.0699999999997,0
ID,Indonesia,1986,3476.2,3479.5199999999995,0
ID,Indonesia,1987,3604.7,3563.5199999999995,0
ID,Indonesia,1988,3568.3,3612.0200000000004,0
ID,Indonesia,1989,3778.6,3671.62,0
ID,Indonesia,1990,3800.2,3720.2299999999996,0
ID,Indonesia,1991,3862.1,3753.1800000000003,0
ID,Indonesia,1992,3817.1,3800.05,0
ID,Indonesia,1993,3916.3,3840.72,0
ID,Indonesia,1994,3865.5,3865.5799999999995,0
ID,Indonesia,1995,3842.8,3877.29,1
ID,Indonesia,1996,3944.9,3899.9100000000008,0
ID,Indonesia,1997,4011.4,3918.19,0
ID,Indonesia,1998,3816.9,3953.4299999999994,1
ID,Indonesia,1999,3895.7,3986.6100000000006,1
ID,Indonesia,2000,4026.4,4027.5100000000007,0
ID,Indonesia,2001,4044.9,4074.3599999999997,0
ID,Indonesia,2002,4169.5,4116.45,0
ID,Indonesia,2003,4248.1,4156.7,0
ID,Indonesia,2004,4274.5,4245.31,0
ID,Indonesia,2005,4311.3,4336.61,0
ID,Indonesia,2006,4365.8,4421.21,0
ID,Indonesia,2007,4413.9,4505.85,0
ID,Indonesia,2008,4703.0,4597.58,0
ID,Indonesia,2009,4808.7,4681.469999999999,0
ID,Indonesia,2010,4872.4,4763.929999999999,0
ID,Indonesia,2011,4891.3,4864.18,0
