iso,year,value
BD,1980,2005.8
BD,1981,1937.5
BD,1982,1997.9
BD,1983,2205.6
BD,1984,2134.6
BD,1985,2148.5
BD,1986,2146.6
BD,1987,2202.1
BD,1988,2235.8
BD,1989,2500.3
BD,1990,2490.6
BD,1991,2585.8
BD,1992,2625.7
BD,1993,2647.7
BD,1994,2475.9
BD,1995,2593.2
BD,1996,2694.2
BD,1997,2682.4
BD,1998,2865.3
BD,1999,3116.4
BD,2000,3384.4
BD,2001,3311.0
BD,2002,3395.0
BD,2003,3479.3
BD,2004,3439.4
BD,2005,3681.6
BD,2006,3761.4
BD,2007,4020.9
BD,2008,4102.5
BD,2009,4176.0
BD,2010,4288.3
BD,2011,4352.8
BD,2012,4395.8
BD,2013,4508.6
BD,2014,4540.9
BD,2015,4560.4
BD,2016,4601.0
BD,2017,4706.0
BD,2018,4790.2
BD,2019,4810.9
BD,2020,4901.8
BD,2021,4919.6
BD,2022,5005.3
BD,2023,5159.9
ID,1980,2865.7
ID,1981,3022.1
ID,1982,3332.1
ID,1983,3320.3
ID,1984,3379.4
ID,1985,3513.3
ID,1986,3476.2
ID,1987,3604.7
ID,1988,3568.3
ID,1989,3778.6
ID,1990,3800.2
ID,1991,3862.1
ID,1992,3817.1
ID,1993,3916.3
ID,1994,3865.5
ID,1995,3842.8
ID,1996,3944.9
ID,1997,4011.4
ID,1998,3816.9
ID,1999,3895.7
ID,2000,4026.4
ID,2001,4044.9
ID,2002,4169.5
ID,2003,4248.1
ID,2004,4274.5
ID,2005,4311.3
ID,2006,4365.8
ID,2007,4413.9
ID,2008,4703.0
ID,2009,4808.7
ID,2010,4872.4
ID,2011,4891.3
ID,2012,5086.8
ID,2013,5087.0
ID,2014,5099.1
ID,2015,5313.8
ID,2016,5158.7
ID,2017,5138.4
ID,2018,5227.8
ID,2019,5351.2
ID,2020,5461.8
ID,2021,5695.7
ID,2022,5833.8
ID,2023,5828.8
IN,1980,1350.0
IN,1981,1398.8
IN,1982,1346.4
IN,1983,1564.4
IN,1984,1563.8
IN,1985,1592.2
IN,1986,1585.4
IN,1987,1583.7
IN,1988,1775.8
IN,1989,1916.4
IN,1990,1891.2
IN,1991,1926.3
IN,1992,2024.8
IN,1993,2084.9
IN,1994,2115.5
IN,1995,2111.7
IN,1996,2181.0
IN,1997,2228.6
IN,1998,2248.4
IN,1999,2313.7
IN,2000,2294.2
IN,2001,2423.1
IN,2002,2187.3
IN,2003,2399.4
IN,2004,2350.0
IN,2005,2411.6
IN,2006,2446.5
IN,2007,2583.3
IN,2008,2637.9
IN,2009,2580.8
IN,2010,2676.4
IN,2011,2860.7
IN,2012,2963.5
IN,2013,2977.5
IN,2014,2966.4
IN,2015,2854.0
IN,2016,2995.1
IN,2017,3127.7
IN,2018,3278.0
IN,2019,3416.0
IN,2020,3383.8
IN,2021,3497.8
IN,2022,3589.1
IN,2023,3626.4
PK,1980,1613.1
PK,1981,1670.2
PK,1982,1637.3
PK,1983,1675.3
PK,1984,1544.9
PK,1985,1601.9
PK,1986,1833.3
PK,1987,1628.2
PK,1988,1702.4
PK,1989,1779.7
PK,1990,1766.4
PK,1991,1805.8
PK,1992,1884.7
PK,1993,1959.5
PK,1994,1840.9
PK,1995,2050.4
PK,1996,2046.3
PK,1997,2044.2
PK,1998,2200.3
PK,1999,2217.8
PK,2000,2404.5
PK,2001,2230.5
PK,2002,2260.2
PK,2003,2320.6
PK,2004,2430.7
PK,2005,2615.8
PK,2006,2554.0
PK,2007,2743.9
PK,2008,2653.7
PK,2009,2789.7
PK,2010,2611.0
PK,2011,2953.4
PK,2012,2862.6
PK,2013,3001.3
PK,2014,3001.2
PK,2015,2942.4
PK,2016,3020.7
PK,2017,3180.4
PK,2018,3149.0
PK,2019,3160.6
PK,2020,3353.4
PK,2021,3489.4
PK,2022,3463.0
PK,2023,3634.0
