episode,step,eq_long_leverage,eq_short_leverage,mean_long_payoff,mean_short_payoff,net_transfer
0,99,1.0,5.0,-427.42787140747424,427.427871407475,-854.8557428149493
0,149,5.0,1.0,1812.7580775628269,-1812.7580775628257,3625.5161551256524
0,199,5.0,1.0,1435.5341028936457,-1435.5341028936466,2871.0682057872923
0,249,1.0,5.0,-32.2237017356998,32.223701735699066,-64.44740347139887
0,299,1.0,5.0,-2962.208859765291,2962.2088597652923,-5924.417719530584
0,349,1.0,5.0,-4676.6261157581785,4676.6261157581785,-9353.252231516357
0,399,1.0,5.0,-3243.1260399303906,3243.126039930391,-6486.252079860782
0,449,1.0,5.0,-1716.0532013180812,1716.05320131808,-3432.106402636161
0,499,1.0,5.0,-1016.7380119861814,1016.7380119861805,-2033.4760239723619
0,549,1.0,5.0,-2283.75577873266,2283.7557787326596,-4567.511557465319
0,599,1.0,5.0,-3696.9332544268777,3696.933254426876,-7393.866508853754
0,649,1.0,5.0,-3157.9114052012237,3157.9114052012224,-6315.822810402446
0,699,1.0,5.0,-3011.370361129998,3011.370361129998,-6022.740722259996
1,99,5.0,1.0,716.2419014774216,-716.2419014774237,1432.4838029548453
1,149,5.0,1.0,1934.9738290627647,-1934.9738290627668,3869.9476581255312
1,199,5.0,1.0,2116.5238612540797,-2116.52386125408,4233.0477225081595
1,249,5.0,1.0,3116.067177648959,-3116.06717764896,6232.134355297919
1,299,5.0,1.0,668.1748542694608,-668.1748542694626,1336.3497085389233
1,349,1.0,5.0,-6725.074559218097,6643.952033611986,-13369.026592830083
1,399,1.0,5.0,-1402.5346303815647,1402.5346303815656,-2805.0692607631304
1,449,5.0,1.0,2763.1810229784237,-2763.1810229784255,5526.362045956849
1,499,1.0,5.0,-1995.8495090430938,1995.8495090430922,-3991.699018086186
1,549,1.0,5.0,-2960.7669499566678,2960.7669499566696,-5921.533899913337
1,599,1.0,5.0,-3160.8862786571713,3160.886278657174,-6321.772557314345
1,649,5.0,1.0,693.6617178212214,-693.6617178212223,1387.3234356424437
1,699,5.0,1.0,1480.4603117747638,-1480.4603117747629,2960.9206235495267
2,99,5.0,1.0,3587.2641606816137,-3587.2641606816114,7174.528321363225
2,149,5.0,1.0,199.07017496468652,-199.07017496468507,398.1403499293716
2,199,5.0,1.0,3450.7434902162595,-3450.743490216258,6901.486980432517
2,249,5.0,1.0,5866.364746576451,-6255.252378397265,12121.617124973716
2,299,5.0,1.0,1899.6314389739168,-1899.631438973918,3799.2628779478346
2,349,1.0,5.0,-2449.156961334655,2449.1569613346555,-4898.313922669311
2,399,1.0,5.0,-2402.1141898237584,2402.1141898237606,-4804.2283796475185
2,449,1.0,5.0,-2064.603112743987,2064.6031127439865,-4129.206225487973
2,499,1.0,5.0,-3788.1597219062915,3788.159721906295,-7576.3194438125865
2,549,1.0,5.0,-3018.183987537465,3018.183987537464,-6036.367975074929
2,599,5.0,1.0,1511.7566462380921,-1511.75664623809,3023.513292476182
2,649,5.0,1.0,6575.6050257498455,-6569.1186831086225,13144.723708858468
2,699,5.0,1.0,1221.1013688970065,-1221.1013688970038,2442.2027377940103
3,99,1.0,5.0,-5914.972819983324,5810.845974571217,-11725.818794554541
3,149,1.0,5.0,-5489.100432783774,4738.344063470431,-10227.444496254204
3,199,5.0,1.0,4650.780596679267,-4954.1376141538485,9604.918210833115
3,249,1.0,5.0,-1010.6052554594447,1010.605255459444,-2021.2105109188888
3,299,1.0,5.0,-1374.4872536919997,1374.4872536919997,-2748.9745073839995
3,349,5.0,1.0,1436.1132813943893,-1436.1132813943875,2872.226562788777
3,399,1.0,5.0,-2499.585212603492,2499.5852126034933,-4999.170425206985
3,449,1.0,5.0,-6470.878559807458,6483.808745427409,-12954.687305234867
3,499,1.0,5.0,-2718.6272397548005,2718.627239754802,-5437.254479509602
3,549,5.0,1.0,4956.295591944495,-4956.295591944498,9912.591183888992
3,599,5.0,1.0,9879.081943515514,-8614.557144308154,18493.639087823667
3,649,5.0,1.0,6037.731077957687,-6315.160863028129,12352.891940985817
3,699,1.0,5.0,-2342.909695607457,2342.909695607457,-4685.819391214914
4,99,5.0,1.0,1511.738395423571,-1511.7383954235715,3023.4767908471426
4,149,5.0,1.0,6615.917631200594,-6767.7427076777585,13383.660338878351
4,199,5.0,1.0,9700.798809216833,-8612.69358452796,18313.492393744793
4,249,5.0,1.0,9283.371979596877,-8366.357507029865,17649.72948662674
4,299,5.0,1.0,6369.411362663889,-6553.784176208319,12923.195538872209
4,349,1.0,5.0,-2514.8023211094614,2514.802321109459,-5029.604642218921
4,399,1.0,5.0,-7244.021419519561,7398.645779760715,-14642.667199280277
4,449,1.0,5.0,-7032.269795886423,7145.50237945948,-14177.772175345903
4,499,1.0,5.0,-7448.618625379438,7786.285355181881,-15234.903980561317
4,549,1.0,5.0,-1208.3294180236978,1208.3294180236962,-2416.6588360473943
4,599,1.0,5.0,-338.7068799591445,338.70687995914597,-677.4137599182905
4,649,1.0,5.0,-5610.577107891175,5465.402821136701,-11075.979929027875
4,699,1.0,5.0,-6812.937267665542,6748.733036838335,-13561.670304503878
