step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
1,50375.0,50000.0,0.0075,0.0075,100000.0,0,40,False,False,False
2,50380.037500000006,50005.0,0.0075,0.015,100000.0,0,40,False,False,False
3,50385.075503750006,50010.0005,0.0075,0.0225,100000.0,0,40,False,False,False
4,50390.11401130038,50015.00150005,0.0075,0.03,100000.0,0,40,False,False,False
5,50395.15302270151,50020.003000200006,0.0075,0.0375,100000.0,0,40,False,False,False
6,50400.19253800378,50025.00500050002,0.0075,0.045,100000.0,0,40,False,False,False
7,50405.23255725758,50030.00750100007,0.0075,0.0525,100000.0,0,40,False,False,False
8,50410.273080513296,50035.01050175017,0.007499999999999993,0.05999999999999999,100000.0,0,40,False,False,False
9,50415.31410782135,50040.014002800344,0.0075,0.06749999999999999,100000.0,0,40,False,False,False
10,50420.35563923213,50045.018004200625,0.0075,0.07499999999999998,100000.0,0,40,False,False,False
11,50425.397674796055,50050.02250600104,0.0075,0.08249999999999999,100000.0,0,40,False,False,False
12,50430.44021456353,50055.02750825164,0.0075,0.09,100000.0,0,40,False,False,False
13,50435.48325858499,50060.033011002466,0.0075,0.0975,100000.0,0,40,False,False,False
14,50440.52680691085,50065.03901430357,0.0075,0.10500000000000001,100000.0,0,40,False,False,False
15,50445.57085959154,50070.045518205,0.0075,0.11250000000000002,100000.0,0,40,False,False,False
16,50450.6154166775,50075.05252275682,0.0075,0.12000000000000002,100000.0,0,40,False,False,False
17,50455.660478219164,50080.060028009095,0.0075,0.12750000000000003,100000.0,0,40,False,False,False
18,50460.70604426698,50085.06803401189,0.0075,0.13500000000000004,100000.0,0,40,False,False,False
19,50465.752114871415,50090.076540815295,0.0075,0.14250000000000004,100000.0,0,40,False,False,False
20,50470.7986900829,50095.085548469375,0.0075,0.15000000000000005,100000.0,0,40,False,False,False
21,50475.845769951906,50100.09505702422,0.0075,0.15750000000000006,100000.0,0,40,False,False,False
22,50480.8933545289,50105.10506652992,0.0075,0.16500000000000006,100000.0,0,40,False,False,False
23,50485.94144386435,50110.11557703657,0.0075,0.17250000000000007,100000.0,0,40,False,False,False
24,50490.990038008735,50115.12658859428,0.0075,0.18000000000000008,100656.74882993655,4,36,False,False,False
25,50496.039137012536,50120.138101253135,0.0075,0.18750000000000008,100656.74882993655,0,36,False,False,False
26,50501.088740926236,50125.15011506326,0.0075,0.1950000000000001,100656.74882993655,0,36,False,False,False
27,50506.13884980033,50130.16263007477,0.0075,0.2025000000000001,100656.74882993655,0,36,False,False,False
28,50511.18946368531,50135.175646337775,0.0075,0.2100000000000001,100656.74882993655,0,36,False,False,False
29,50516.24058263168,50140.18916390241,0.0075,0.2175000000000001,100656.74882993655,0,36,False,False,False
30,50521.29220668994,50145.2031828188,0.0075,0.22500000000000012,100656.74882993655,0,36,False,False,False
31,50526.34433591061,50150.21770313708,0.0075,0.23250000000000012,101216.69832903074,7,29,False,False,False
32,50531.396970344205,50155.23272490739,0.0075,0.24000000000000013,101216.69832903074,0,29,False,False,False
33,50536.45011004124,50160.24824817989,0.0075,0.24750000000000014,101216.69832903074,0,29,False,False,False
34,50541.50375505224,50165.2642730047,0.0075,0.2550000000000001,101216.69832903074,0,29,False,False,False
35,50546.55790542775,50170.280799432,0.0075,0.2625000000000001,101216.69832903074,0,29,False,False,False
36,50551.61256121829,50175.297827511946,0.0075,0.27000000000000013,101216.69832903074,0,29,False,False,False
37,50556.66772247441,50180.3153572947,0.0075,0.27750000000000014,101216.69832903074,0,29,False,False,False
38,50561.723389246654,50185.333388830426,0.007499999999999993,0.28500000000000014,101216.69832903074,0,29,False,False,False
39,50566.77956158558,50190.351922169306,0.0075,0.29250000000000015,101216.69832903074,0,29,False,False,False
40,50571.836239541735,50195.37095736152,0.0075,0.30000000000000016,101216.69832903074,0,29,False,False,False
41,50576.89342316569,50200.39049445726,0.0075,0.30750000000000016,101216.69832903074,0,29,False,False,False
42,50581.951112508,50205.4105335067,0.0075,0.31500000000000017,101483.53023081426,4,25,False,False,False
43,50587.00930761926,50210.43107456005,0.0075,0.3225000000000002,101483.53023081426,0,25,False,False,False
44,50592.06800855001,50215.452117667504,0.0075,0.3300000000000002,101483.53023081426,0,25,False,False,False
45,50597.12721535086,50220.47366287927,0.0075,0.3375000000000002,101483.53023081426,0,25,False,False,False
46,50602.1869280724,50225.49571024555,0.0075,0.3450000000000002,101483.53023081426,0,25,False,False,False
47,50607.24714676521,50230.51825981658,0.0075,0.3525000000000002,101483.53023081426,0,25,False,False,False
48,50612.307871479876,50235.541311642555,0.0075,0.3600000000000002,101483.53023081426,0,25,False,False,False
