step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
1,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
2,49958.333333333336,50000.0,-0.0008333333333332848,-0.0008333333333332848,100000.0,0,40,False,False,False
3,49916.666666666664,49958.333333333336,-0.0008340283569642338,-0.0016673616902975186,100000.0,0,40,False,False,False
4,49875.0,49916.666666666664,-0.000834724540901454,-0.0025020862311989724,100000.0,0,40,False,False,False
5,49833.333333333336,49875.0,-0.0008354218880534184,-0.003337508119252391,100000.0,0,40,False,False,False
6,49791.666666666664,49833.333333333336,-0.00083612040133789,-0.0041736285205902805,100000.0,0,40,False,False,False
7,49750.0,49791.666666666664,-0.0008368200836819597,-0.0050104486042722406,100000.0,0,40,False,False,False
8,49708.333333333336,49750.0,-0.0008375209380234018,-0.005847969542295642,100000.0,0,40,False,False,False
9,49666.666666666664,49708.333333333336,-0.0008382229673094019,-0.0066861925096050445,100000.0,0,40,False,False,False
10,49625.0,49666.666666666664,-0.0008389261744965955,-0.00752511868410164,100000.0,0,40,False,False,False
11,49583.333333333336,49625.0,-0.000839630562552428,-0.008364749246654068,100000.0,0,40,False,False,False
12,49541.666666666664,49583.333333333336,-0.0008403361344538792,-0.009205085381107947,100000.0,0,40,False,False,False
13,49500.0,49541.666666666664,-0.0008410428931875036,-0.01004612827429545,100000.0,0,40,False,False,False
14,49458.333333333336,49500.0,-0.0008417508417507927,-0.010887879116046243,100000.0,0,40,False,False,False
15,49416.666666666664,49458.333333333336,-0.0008424599831508984,-0.011730339099197141,100000.0,0,40,False,False,False
16,49375.0,49416.666666666664,-0.0008431703204046727,-0.012573509419601813,100000.0,0,40,False,False,False
17,49333.333333333336,49375.0,-0.0008438818565400353,-0.013417391276141848,100000.0,0,40,False,False,False
18,49291.666666666664,49333.333333333336,-0.0008445945945946929,-0.014261985870736541,100000.0,0,40,False,False,False
19,49250.0,49291.666666666664,-0.0008453085376161808,-0.015107294408352722,100000.0,0,40,False,False,False
20,49208.333333333336,49250.0,-0.0008460236886632333,-0.015953318097015955,100000.0,0,40,False,False,False
21,49166.666666666664,49208.333333333336,-0.0008467400508045016,-0.016800058147820457,100000.0,0,40,False,False,False
22,49125.0,49166.666666666664,-0.0008474576271185948,-0.017647515774939053,100000.0,0,40,False,False,False
23,49083.333333333336,49125.0,-0.0008481764206954553,-0.01849569219563451,100000.0,0,40,False,False,False
