step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
1,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
2,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
3,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
4,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
5,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
6,48015.0,48500.0,-0.0075,-0.0075,100000.0,0,40,False,False,False
7,46574.55,47045.0,-0.0075,-0.015,100000.0,0,40,False,False,False
8,45177.313500000004,45633.65,-0.0075,-0.0225,100000.0,0,40,False,False,False
9,43821.994095,44264.6405,-0.0075,-0.03,100000.0,0,40,False,False,False
10,42507.33427215,42936.701285,-0.0075,-0.0375,100000.0,0,40,False,False,False
11,41232.1142439855,41648.600246450005,-0.0075,-0.045,100000.0,0,40,False,False,False
12,39995.15081666594,40399.142239056506,-0.0075,-0.0525,100000.0,0,40,False,False,False
13,38795.296292165964,39187.16797188481,-0.0075,-0.06,100000.0,0,40,False,False,False
14,37631.43740340098,38011.552932728264,-0.0075,-0.0675,100000.0,0,40,False,False,False
15,36502.494281298954,36871.20634474642,-0.0075,-0.07500000000000001,100000.0,0,40,False,False,False
16,35407.41945285998,35765.07015440402,-0.0075,-0.08250000000000002,100000.0,0,40,False,False,False
17,34345.19686927418,34692.118049771896,-0.0075,-0.09000000000000002,100000.0,0,40,False,False,False
18,33314.84096319595,33651.35450827874,-0.0075,-0.09750000000000003,100000.0,0,40,False,False,False
19,32315.395734300073,32641.813873030376,-0.0075,-0.10500000000000004,100000.0,0,40,False,False,False
20,31345.933862271067,31662.559456839463,-0.0075,-0.11250000000000004,100000.0,0,40,False,False,False
21,30405.555846402935,30712.682673134277,-0.0075,-0.12000000000000005,100000.0,0,40,False,False,False
22,29493.389171010847,29791.30219294025,-0.0075,-0.12750000000000006,100000.0,0,40,False,False,False
23,28608.587495880518,28897.56312715204,-0.0075,-0.13500000000000006,100000.0,0,40,False,False,False
24,27750.3298710041,28030.63623333748,-0.0075,-0.14250000000000007,100000.0,0,40,False,False,False
25,26917.81997487398,27189.717146337352,-0.0075,-0.15000000000000008,100000.0,0,40,False,False,False
26,27461.614317800726,27461.614317800726,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
27,27736.230460978735,27736.230460978735,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
28,28013.592765588524,28013.592765588524,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
29,28293.72869324441,28293.72869324441,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
30,28576.665980176855,28576.665980176855,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
31,28862.432639978622,28862.432639978622,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
32,29151.056966378408,29151.056966378408,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
33,29442.567536042192,29442.567536042192,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
34,29736.993211402612,29736.993211402612,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
35,30034.36314351664,30034.36314351664,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
36,30334.706774951806,30334.706774951806,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
37,30638.053842701323,30638.053842701323,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
38,30944.434381128336,30944.434381128336,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
39,31253.87872493962,31253.87872493962,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
40,31566.417512189015,31566.417512189015,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
41,31882.081687310907,31882.081687310907,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
42,32200.902504184018,32200.902504184018,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
43,32522.911529225858,32522.911529225858,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
44,32848.14064451811,32848.14064451811,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
45,33176.62205096329,33176.62205096329,0.0,-0.15000000000000008,100000.0,0,40,False,False,False
