step,mark_price,index_price,funding_rate,cum_funding,insurance_fund,liquidations,positions_alive,insolvent,iota_violated,leverage_violated
1,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
2,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
3,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
4,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
5,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
6,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
7,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
8,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
9,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
10,50000.0,50000.0,0.0,0.0,100000.0,0,40,False,False,False
11,60000.0,50000.0,0.0075,0.0075,100000.0,0,40,False,False,False
12,60000.0,50000.0,0.0075,0.015,100000.0,0,40,False,False,False
13,60000.0,50000.0,0.0075,0.0225,100000.0,0,40,False,False,False
14,60000.0,50000.0,0.0075,0.03,100000.0,0,40,False,False,False
15,60000.0,50000.0,0.0075,0.0375,100000.0,0,40,False,False,False
16,50000.0,50000.0,0.0,0.0375,100000.0,0,40,False,False,False
17,50049.99999999999,50049.99999999999,0.0,0.0375,100000.0,0,40,False,False,False
18,50100.04999999999,50100.04999999999,0.0,0.0375,100000.0,0,40,False,False,False
19,50150.15004999998,50150.15004999998,0.0,0.0375,100000.0,0,40,False,False,False
20,50200.30020004998,50200.30020004998,0.0,0.0375,100000.0,0,40,False,False,False
21,50250.50050025002,50250.50050025002,0.0,0.0375,100000.0,0,40,False,False,False
22,50300.751000750264,50300.751000750264,0.0,0.0375,100000.0,0,40,False,False,False
23,50351.05175175101,50351.05175175101,0.0,0.0375,100000.0,0,40,False,False,False
24,50401.40280350275,50401.40280350275,0.0,0.0375,100000.0,0,40,False,False,False
25,50451.804206306246,50451.804206306246,0.0,0.0375,100000.0,0,40,False,False,False
26,50502.256010512545,50502.256010512545,0.0,0.0375,100000.0,0,40,False,False,False
27,50552.75826652305,50552.75826652305,0.0,0.0375,100000.0,0,40,False,False,False
28,50603.31102478957,50603.31102478957,0.0,0.0375,100000.0,0,40,False,False,False
29,50653.91433581435,50653.91433581435,0.0,0.0375,100000.0,0,40,False,False,False
30,50704.56825015016,50704.56825015016,0.0,0.0375,100000.0,0,40,False,False,False
31,50755.2728184003,50755.2728184003,0.0,0.0375,100000.0,0,40,False,False,False
32,50806.02809121869,50806.02809121869,0.0,0.0375,100000.0,0,40,False,False,False
33,50856.834119309904,50856.834119309904,0.0,0.0375,100000.0,0,40,False,False,False
34,50907.690953429206,50907.690953429206,0.0,0.0375,100000.0,0,40,False,False,False
35,50958.59864438263,50958.59864438263,0.0,0.0375,100000.0,0,40,False,False,False
